Registracijos numeris,Registracijos data,docReklaminės veiklos subjektas (užsakovas),docReklaminės veiklos subjekto (užsakovo) buveinės adresas,docReklamos apmokestinamas plotas,docReklamos komisijos posėdžio data,docReklamos komisijos posėdžio protokolo Nr.,docReklamos leidimas galioja iki (data),docReklamos plotas (kv. m),docReklamos tipas,docReklamos turinys,docReklamos vykdytojas,docReklamos įrengimo adresas (gatvė),docReklamos įrengimo adresas (namo Nr.),docReklamos įrengimo adresas(seniūnija),docPastabos
A635-388(2.3.2.1-TR3),3/24/2010,,,,,,,,IVR ant pastato fasado,ELFA,"UAB ""Elfa elektronika""",Visorių,2,Fabijoniškių,
A635-390(2.3.2.1-TR3),3/24/2010,,,,,,,,IVR ant kolonos,PRIVATIZUOJAMI OBJEKTAI 2010 M. BALANDŽIO MĖN.,Vilniaus miesto savivaldybė,Gedimino,*,Senamiesčio,
A635-389(2.3.2.1-TR3),3/24/2010,,,,,,,,IVR ant pastato fasado,ROMANO DOVALO FIRMA „AUTODUJOS“ AUTOMOBILINĖ DUJŲ ĮRANGA,"R. Dovalo firma ""Autodujos""",Vytenio,61,Naujamiesčio,
A635-402(2.3.2.1-TR3),3/25/2010,,,,,,,,IVR ant pastato fasado,ALFA.LT,"UAB „LT ADVERT""",Laisvės,55,Karoliniškių,
A635-404(2.3.2.1-TR3),3/25/2010,,,,,,,,IVR ant pastato fasado,VETA,"UAB ,,ARFIX""",Kalvarijų,62,Šnipiškių,
A635-395(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant skydo,ERGO,JCDecaux,J. Basanavičiaus,.,Naujamiesčio,
A635-400(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant skydo,STEP TOP,JCDecaux,T. Narbuto,.,Karoliniškių,
A635-397(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant skydo,MAXIMA,JCDecaux,Laisvės,.,Karoliniškių,
A635-392(2.3.2.1-TR3),3/25/2010,,,,,,,,"ANT STOTELĖS VITRINOS, KOLONOS",KAUNAS JAZZ,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-394(2.3.2.1-TR3),3/25/2010,,,,,,,,ANT STOTELĖS VITRINOS,TEO,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-396(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant skydo,UTENOS ALUS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-399(2.3.2.1-TR3),3/25/2010,,,,,,,,ANT STOTELĖS VITRINOS,EMP,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-398(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant skydo,ARMITANA,JCDecaux,T. Narbuto,.,Karoliniškių,
A635-391(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant plakato,STEP TOP,"UAB „Baltijos vaizdinė reklama""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-393(2.3.2.1-TR3),3/25/2010,,,,,,,,"ANT STOTELĖS VITRINOS, KOLONOS",KAUNAS JAZZ,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-403(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant stendo,TELE BIM BAM,"UAB „LT ADVERT""",Ukmergės,202A,Šeškinės,
A635-401(2.3.2.1-TR3),3/25/2010,,,,,,,,Ant skydo,RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-405(2.3.2.1-TR3),3/25/2010,,,,,,,,IVR ant pastato fasado,OMNITEL,UAB „Omnitel“,Gedimino,12,Senamiesčio,
A635-409(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,„VILNIAUS JUVELYRIKA“ „VILNIAUS LOMBARDAI“,"UAB "" Auksinis asilas""",Žemynos,2,Pašilaičių,"Išduoti leidimą su sąlyga, kad iškabos dydis bus sumažintas iki 2,5 x 0,85 m dydžio"
A635-408(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,„HUSQVARNA“ SODO IR MIŠKO TECHNIKA,"UAB ""Technika girioms ir parkams""",Žemaitės,22,Naujamiesčio,
A635-411(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,„GAUSA“ PARDUOTUVIŲ TINKLAS PIGŪS RŪBAI,UAB SEG.LT,Šeškinės,10,Šeškinės,Išduoti leidimą vienai reklaminei iškabai virš įėjimo durų
A635-414(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,"UAB „LP POLIGRAFIJA“ LIPNIOS ETIKETĖS, ETIKETĖS, SPAUSDINAMOS ANT PLĖVELIŲ IR POPIERINIŲ PAVIRŠIŲ","UAB ""LP POLIGRAFIJA""",Gedimino,26,Naujamiesčio,
A635-407(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,„GRIFS AG“ SAUGOS TARNYBA,"UAB ,,GRIFS AG""",Ukmergės,223,Šeškinės,
A635-406(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,BARAS NAKTIDA,"UAB ""NAKTIDA""",Gedvydžių,17,Fabijoniškių,Išduoti leidimą konsolinei reklamai prie įėjimo durų
A635-412(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,ALKOHOLINIAI GĖRIMAI „BRAVO ALCO“,"UAB „Darija""",Šeškinės,22A,Šnipiškių,
A635-413(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,PICŲ MENAS. PRISTATYMAS Į NAMUS,"UAB ""DQ VECTRUM""",Žemynos,26,Pašilaičių,Išduoti leidimą reklaminei iškabai virš įėjimo durų
A635-410(2.3.2.1-TR3),3/31/2010,,,,,,,,IVR ant pastato fasado,AVALYNĖS TAISYKLA „BATAS“,UAB „ARTI DIZAINAS“,Lvovo,13A,Šnipiškių,Išduoti leidimą reklamai pilkame fone
A635-415(2.3.2.1-TR3),4/6/2010,,,,,,,,IVR ant pastato fasado,ŽALIASIS CENTRAS,"UAB ""FORESTILA""",Geležinio Vilko,62,Šeškinės,
A635-421(2.3.2.1-TR3),4/8/2010,,,,,,,,IVR ant pastato fasado,OPTIKA,"UAB ,,VIZUALINIAI PROJEKTAI""",Laisvės,125,Pašilaičių,
A635-416(2.3.2.1-TR3),4/8/2010,,,,,,,,IVR ant pastato fasado,ODONTOLOGIJOS KLINIKA SAVANORIŲ PR. 65,"UAB ,,KAMDA""",Savanorių,65,Vilkpėdės,"Išduoti leidimą iškabai, su sąlyga, kad bus pateikti patikslinti darbo laiko lentelės išmatavimai."
A635-418(2.3.2.1-TR3),4/8/2010,,,,,,,,IVR ant pastato fasado,"KOMISAS DRABUŽIAI, AVALYNĖ, GALANTERIJA, BIŽUTERIJA",AIDA ZUBRICKIENĖ,L. Asanavičiūtės,29,Karoliniškių,
A635-419(2.3.2.1-TR3),4/8/2010,,,,,,,,IVR ant pastato fasado,„BIOTEKA“ SVEIKATĄ IR GAMTĄ TAUSOJANČIOS BUITIES PRIEŽIŪROS PRIEMONĖS,"UAB ""Sveikų Bioproduktų Centras""",Klaipėdos,3,Senamiesčio,"Išduoti leidimą su sąlyga, kad bus pataisyti užrašai ant stiklo pagal lietuvių kalbos reikalavimus."
A635-417(2.3.2.1-TR3),4/8/2010,,,,,,,,IVR ant pastato fasado,MAISTO PREKĖS,"UAB ""ULTRAMARINAS""",Žemynos,2B,Pašilaičių,
A635-420(2.3.2.1-TR3),4/8/2010,,,,,,,,IVR ant pastato fasado,MENO TERAPIJOS STUDIJA WWW.MENOTERAPIJA.LT,VšĮ Meno terapijos studija,A. Stulginskio / A. Smetonos,7-Apr,Naujamiesčio,
A635-434(2.3.2.1-TR3),4/9/2010,,,,,,,,IVR ant pastato fasado,SODININKŲ MUGĖ,"UAB ""Dalila ir partneriai""",P. Lukšio,34,Žirmūnų,
A635-462(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant viaduko,ERGO,UAB „ETN - BALTIC“,NARBUTO / UKMERGĖS,.,Šeškinės,
A635-465(2.3.2.1-TR3),4/9/2010,,,,,,,,"ANT STOTELĖS VITRINOS, KOLONOS",TOMMY EMMANUEL,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-466(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,GARNIER,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-430(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant plakato,NOSTRA,"UAB „Baltijos vaizdinė reklama""",Savanorių / Vilkpėdės,.,Vilkpėdės,
A635-436(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,OZAS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-458(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,PRISMA; VISADA ŽEMOS KAINOS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-459(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,PILDYK,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-460(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,UTOPIA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-463(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,UTENOS ALUS,"UAB ,,SALVE SOL""",Sausio 13-osios,7,Karoliniškių,
A635-470(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant konsolės,GEALAN,"UAB ""Actual City Media""",Konstitucijos,.,Šnipiškių,
A635-424(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant kolonos,GARNIER FRUCTIS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-426(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant stendo,BITĖ,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-448(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,KALNAPILIS,JCDecaux,NARBUTO / LAISVĖS,.,Karoliniškių,
A635-449(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,"SU GIMTADIENIU, AUŠRYT",JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-461(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,FHM,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-433(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant stendo,TAPKIT ASU,"UAB ,,ZOOM OUT""",J. Jasinskio,15,Naujamiesčio,
A635-437(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,PIAR,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-457(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,SKINIJA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-464(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,TITANŲ SUSIDŪRIMAS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-455(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,MAXIMA,JCDecaux,Laisvės,.,Karoliniškių,
A635-468(2.3.2.1-TR3),4/9/2010,,,,,,,,IVR ant pastato fasado,RADIOCENTRAS,"UAB „LT ADVERT""",Gerosios Vilties,5,Vilkpėdės,
A635-425(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant stendo,HAMLETAS,"UAB ""Clear Clannel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-439(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,AGROBALT,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-435(2.3.2.1-TR3),4/9/2010,,,,,,,,"ANT STOTELĖS VITRINOS, KOLONOS",ŠIUOLAIKINIO MENO AUKCIONAS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-432(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant plakato,PRISMA; VISADA ŽEMOS KAINOS,"UAB „Baltijos vaizdinė reklama""",Ozo / Gelvonų,.,Šeškinės,
A635-442(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,PILDYK,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-443(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,"GERO GIMTADIENIO, AUŠRYT",JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-451(2.3.2.1-TR3),4/9/2010,,,,,,,,IVR ant pastato fasado,"ĮVAIRIŲ RŪŠIŲ ŽALIUZĖS, LANGAI, DURYS IŠ MEDŽIO, PLASTIKO, ALIUMINIO","UAB ,,ASANTA""",Žalgirio,97,Žirmūnų,
A635-456(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,GYVASTIS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-441(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,MAXIMA,JCDecaux,Laisvės,.,Karoliniškių,
A635-445(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,PASIPRIEŠINIMAS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-446(2.3.2.1-TR3),4/9/2010,,,,,,,,IVR ant pastato fasado,JUVELYRINĖS DIRBTUVĖS; TAISYKLA,"UAB ,,ND LINIJA""",Džiaugsmo,28A,Naujoji Vilnia,
A635-454(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,LIPTON,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-467(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,PARKAS OUTLET,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-469(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,RADIOCENTRAS,"UAB „LT ADVERT""",Ozo,12,Verkių,
A635-438(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,PRISMA; VISADA ŽEMOS KAINOS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-447(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant plakato,VISADA PIGIAU,"UAB „Baltijos vaizdinė reklama""",Gariūnų,.,Panerių,
A635-453(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant kolonos,RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-422(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,METALLICA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-423(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,BOTIE BALTIC,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-428(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant stendo,ROMEO IR DŽIULJETA,"UAB ""Clear Clannel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-429(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant stendo,NAUJASIS BALTIJOS ŠOKIS,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-440(2.3.2.1-TR3),4/9/2010,,,,,,,,ANT STOTELĖS VITRINOS,RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-450(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,DAROM,"UŽDAROJI AKCINĖ BENDROVĖ ""SKR INVEST""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-452(2.3.2.1-TR3),4/9/2010,,,,,,,,IVR ant pastato fasado,UTENOS ALUS,"UAB ,,ZOOM OUT""",Kalvarijų,6,Šnipiškių,
A635-444(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant skydo,ARIEL,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-427(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant stendo,KALNAPILIS,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-431(2.3.2.1-TR3),4/9/2010,,,,,,,,Ant plakato,NAUJA ERA,"UAB „Baltijos vaizdinė reklama""",Geležinio Vilko,.,Šnipiškių,
A635-477(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,LAISVĖS TURGUS,"UAB ""LAISVĖS PREKYBA""",Žirmūnų,145,Žirmūnų,
A635-476(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,„EAT EAST“ AZIJOS VIRTUVĖ,"UAB ""Multiplex""",Konstitucijos,20,Šnipiškių,
A635-480(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,SAULĖTEKIO SLĖNIS,"VšĮ ""Saulėtekio slėnis""",Saulėtekio,15,Antakalnio,
A635-475(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,LIETUVOS RESPUBLIKOS LIBERALŲ SĄJŪDIS,LIETUVOS RESPUBLIKOS LIBERALŲ SĄJŪDIS,J. Tumo-Vaižganto  / Lukiškių,1-Sep,Naujamiesčio,
A635-473(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,AUTOMOBILIŲ PLOVYKLA,"UAB ""Selto švara""",Savanorių,6,Naujamiesčio,
A635-474(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,„JSG“ DURŲ IR INTERJERO SALONAS,Aleksandr Greckas,S. Žukausko / Ulonų,1-Jan,ŽVĖRYNO,
A635-479(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,"DVIRAČIAI, DALYS, REMONTAS UAB „KUPRITAS“","UAB ""Kupritas""",Vilkpėdės,6,Vilkpėdės,
A635-481(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,"„BRAVO ALCO“ GĖRIMAI, SALDUMYNAI","UAB „Darija""",Vilniaus,23,Senamiesčio,"Išduoti leidimą pagal pateiktą antrąjį variantą su sąlyga, kad konsolės tvirtinimo aukštis bus patikslintas pagal gretimos konsolės aukštį."
A635-482(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,„VADASIGA“,"UAB ""LAZERTECHAS""",Kęstučio / D. Poškos,26 / 24,ŽVĖRYNO,
A635-471(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,KIRPYKLA,UAB „Efektyvi reklama“,Antakalnio,39,Antakalnio,Išduoti leidimą iškabai ant pastato fasado
A635-472(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,BUITINĖ TECHNIKA,UAB „BALTOSIOS TECHNIKOS“,Švitrigailos,11D,Naujamiesčio,
A635-478(2.3.2.1-TR3),4/14/2010,,,,,,,,IVR ant pastato fasado,PRAMONINĖS PADANGOS IR RATLANKIAI,"UAB ""Starcolita""",Savanorių,180,Vilkpėdės,
A635-483(2.3.2.1-TR3),4/15/2010,,,,,,,,IVR ant pastato fasado,„EKOKLIMA“ „NIBE“  ŠILUMOS SIURBLIAI,UAB „EKOKLIMA“,S. Žukausko,29,Žirmūnų,
A635-484(2.3.2.1-TR3),4/15/2010,,,,,,,,IVR ant pastato fasado,„ND LINIJA“ REKLAMOS GAMYBA,"UAB ,,ND LINIJA""",Žirmūnų,54B,Žirmūnų,
A635-485(2.3.2.1-TR3),4/15/2010,,,,,,,,IVR ant pastato fasado,.,UAB „SKR INVEST“,J. Jasinskio,16E,Naujamiesčio,
A635-486(2.3.2.1-TR3),4/16/2010,,,,,,,,IVR ant pastato fasado,EUROPOS PARLAMENTO NARIO VALDEMARO TOMAŠEVSKIO BIURAS,"UAB ""MYLIDOS"" REKLAMA",Naugarduko,76,Naujamiesčio,
A635-487(2.3.2.1-TR3),4/19/2010,,,,,,,,IVR ant pastato fasado,STILINGA APRANGA. IŠPARDUOTUVĖ,"VšĮ ""mediaPRO""",S. Žukausko,41,Žirmūnų,
A635-490(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,„ESSE & WINE” VYNINĖ,"UAB ,,LIT-INVEST""",Saltoniškių,34A,ŽVĖRYNO,
A635-492(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,„TETE-A-TETE CASINO LOŠIMO AUTOMATŲ SALONAS“,"Uab ""Tete-a-tete"" kazino",Ukmergės,222,Šnipiškių,
A635-493(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,GINTARINĖ VAISTINĖ,"UAB ,,GINTARINĖ VAISTINĖ""",Sėlių / Žalioji,Feb-54,ŽVĖRYNO,
A635-494(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,GINTARINĖ VAISTINĖ,"UAB ,,GINTARINĖ VAISTINĖ""",Gedvydžių,1,Fabijoniškių,
A635-489(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,„BOULANGERIE“  PRANCŪZIŠKA KEPYKLA IR VYNAS,"UAB ""VAIBRA""",Trakų,7,Senamiesčio,
A635-491(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,"„VILNIAUS SVEIKATOS NAMAI“ PRIVATI POLIKLINIKA, ODONTOLOGIJOS KLINIKA",UAB „VILNIAUS SVEIKATOS NAMAI“,A. J. Povilaičio,18,Karoliniškių,
A635-488(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,„KARCHER PARDUOTUVĖ DEIMENA”,UAB „Deimena“,Ateities,10,Verkių,
A635-495(2.3.2.1-TR3),4/20/2010,,,,,,,,IVR ant pastato fasado,DEICHMANN,"UAB ""Deichmann avalynė""",Ozo,25,Šeškinės,
A635-505(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant kolonų,TUBORG,"UAB ""Cleat Channerl Lietuva""",Įvairios gatvės,.,Įvairios seniūnijos,
A635-515(2.3.2.1-TR3),4/21/2010,,,,,,,,"Ant stotelės vitrinų, kolonų",PARODA,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-524(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,STAR1 HOLIDAYS,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-500(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant plakato,PANORAMA,"UAB ""Baltijos vaizdinė reklama""",Įvairios gatvės,.,Įvairios seniūnijos,
A635-496(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinos,RED BULL,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-503(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant plakato,PRISMA,"UAB ""Baltijos vaizdinė reklama""",Ozo /Gelvonų,.,Šeškinės,
A635-509(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,AMMO,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-511(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant kolonų,MANGO,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-513(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,MIDI ROKO OPERA,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-531(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant viaduko,ČILI TOKYO,"UAB ""ETN Baltic""",Narbuto / Ukmergės,.,Šeškinės,
A635-499(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant viaduko,STATOIL,"UAB ""ETN Baltic""",Geležinio Vilko / Ateities,.,Verkių,
A635-506(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant kolonų,BOEING,"UAB ""Cleat Channerl Lietuva""",Įvairios gatvės,.,Įvairios seniūnijos,
A635-521(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant skydo,PRISMA,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-523(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,COMPLEXIONS,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-527(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,PINOTEX,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-502(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant viaduko,STATOIL,"UAB ""ETN Baltic""",Ukmergės,.,Šeškinės,
A635-501(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,MANGO,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-507(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant plakato,NOSTRA,"UAB ""Baltijos vaizdinė reklama""",Savanorių / Vilkpėdės,.,Vilkpėdės,
A635-510(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,FAUSTAS,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-516(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,LIETUVOS RAUDONASIS KRYŽIUS,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-519(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant skydo,OZAS,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-525(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant stotelės vitrinų,AKROPOLIS,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-526(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant skydo,BITĖ,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
A635-529(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant skydo,TRASALIS,"UAB ""LT Advert""",Ozo,12,Verkių,
A635-532(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant pastato fasado,UTENOS ALUS,"UAB ""SKRinvest""",J. Jasinskio,16E,Naujamiesčio,
A635-508(2.3.2.1-TR3),4/21/2010,,,,,,,,Ant plakato,NOKIA,"UAB ""Baltijos vaizdinė reklama""",Įvairios gatvės,.,Įvairios seniūnijos,
A635-512(2.3.2.1-TR3),4/21/2010,,,,,,,,"Ant kolonų, skydų",SAMSUNG,JCDecaux,Įvairios gatvės,.,Įvairios seniūnijos,
